NAME_1,Population,Inset
Aichi,7416336,center
Akita,1074858,center
Aomori,1362820,center
Chiba,6214148,center
Ehime,1423406,center
Fukui,802906,center
Fukuoka,5079291,center
Fukushima,1989834,center
Gifu,2070908,center
Gunma,2000514,center
Hiroshima,2855045,center
Hokkaido,5485952,center
Hyogo,5581968,center
Ibaraki,2957706,center
Ishikawa,1166309,center
Iwate,1314076,center
Kagawa,991947,center
Kagoshima,1698695,left
Kanagawa,9058094,left
Kochi,758469,left
Kumamoto,1812575,left
Kyoto,2631671,left
Mie,1847223,left
Miyagi,2326735,left
Miyazaki,1130983,left
Nagano,2142167,left
Nagasaki,1417423,left
Nara,1395845,right
Niigata,2362158,right
Oita,1191430,right
Okayama,1940559,right
Okinawa,1401066,right
Osaka,8861012,right
Saga,846787,right
Saitama,7207139,right
Shiga,1413513,right
Shimane,712292,right
Shizuoka,3749274,right
Tochigi,2000010,right
Tokushima,780236,right
Tokyo,13195974,right
Tottori,585494,right
Toyama,1087745,right
Wakayama,995010,right
Yamagata,1161214,right
Yamaguchi,1442428,right
Yamanashi,857459,right
